Month;Coal Production (Quadrillion Btu);Natural Gas (Dry) Production (Quadrillion Btu);Crude Oil Production (Quadrillion Btu);Natural Gas Plant Liquids Production (Quadrillion Btu);Total Fossil Fuels Production (Quadrillion Btu);Nuclear Electric Power Production (Quadrillion Btu);Hydroelectric Power Production (Quadrillion Btu);Geothermal Energy Production (Quadrillion Btu);Solar Energy Production  (Quadrillion Btu);Wind Energy Production  (Quadrillion Btu);Biomass Energy Production  (Quadrillion Btu);Total Renewable Energy Production  (Quadrillion Btu);Total Primary Energy Production  (Quadrillion Btu)
1973 janvier;1,166486;1,908249;1,649833;0,208064;4,932632;0,068103;0,089562;0,00049;Not Available;Not Available;0,129787;0,219839;5,220574
1973 février;1,086072;1,922543;1,525783;0,195184;4,729582;0,064634;0,079544;0,000448;Not Available;Not Available;0,117338;0,19733;4,991545
1973 mars;1,196571;1,86843;1,667094;0,214807;4,946902;0,072494;0,088284;0,000464;Not Available;Not Available;0,129938;0,218686;5,238082
1973 avril;1,11223;1,777561;1,616791;0,20969;4,716271;0,06407;0,083152;0,000542;Not Available;Not Available;0,125636;0,20933;4,989672
1973 mai;1,216978;1,859241;1,665377;0,215398;4,956995;0,062111;0,085643;0,000505;Not Available;Not Available;0,129834;0,215982;5,235087
1973 juin;1,103861;1,802065;1,603224;0,206945;4,716096;0,073968;0,08206;0,000579;Not Available;Not Available;0,125611;0,208249;4,998313
1973 juillet;1,034037;1,841884;1,65724;0,215115;4,748276;0,07589;0,0774;0,000614;Not Available;Not Available;0,129787;0,2078;5,031966
1973 août;1,319832;1,857199;1,648505;0,216461;5,041997;0,084883;0,072936;0,000579;Not Available;Not Available;0,129918;0,203432;5,330313
1973 septembre;1,142385;1,803086;1,577362;0,208671;4,731504;0,085724;0,059029;0,00049;Not Available;Not Available;0,125782;0,1853;5,002528
1973 octobre;1,285586;1,836779;1,658452;0,217504;4,998321;0,081971;0,062967;0,000578;Not Available;Not Available;0,12997;0,193514;5,273806
1973 novembre;1,178337;1,825548;1,594008;0,21261;4,810504;0,088773;0,069063;0,00062;Not Available;Not Available;0,125643;0,195326;5,094602
1973 décembre;1,149749;1,886808;1,629568;0,214072;4,880197;0,087557;0,090131;0,0008;Not Available;Not Available;0,129824;0,220755;5,188508
1974 janvier;1,251148;1,895424;1,60631;0,20816;4,961042;0,084855;0,0995;0,000704;Not Available;Not Available;0,130807;0,23101;5,276907
1974 février;1,16539;1,728512;1,484696;0,191245;4,569843;0,090577;0,091476;0,000621;Not Available;Not Available;0,118091;0,210188;4,870608
1974 mars;1,195337;1,860608;1,611977;0,213341;4,881263;0,097966;0,09495;0,000707;Not Available;Not Available;0,130727;0,226384;5,205612
1974 avril;1,268152;1,747968;1,55799;0,201046;4,775157;0,079566;0,095969;0,000666;Not Available;Not Available;0,126583;0,223218;5,07794
1974 mai;1,343967;1,813504;1,602122;0,207002;4,966595;0,073242;0,096337;0,000667;Not Available;Not Available;0,130789;0,227793;5,26763
1974 juin;1,120607;1,709056;1,527761;0,199631;4,557055;0,079015;0,091719;0,000645;Not Available;Not Available;0,126611;0,218976;4,855046
1974 juillet;1,149793;1,784832;1,578667;0,202951;4,716243;0,113953;0,090437;0,000716;Not Available;Not Available;0,130756;0,221909;5,052105
1974 août;1,209619;1,757184;1,564057;0,205275;4,736135;0,137654;0,082727;0,000707;Not Available;Not Available;0,130763;0,214197;5,087985
1974 septembre;1,227477;1,723392;1,46907;0,194217;4,614156;0,12288;0,07361;0,000653;Not Available;Not Available;0,126637;0,2009;4,937936
1974 octobre;1,41053;1,734656;1,548304;0,206563;4,900053;0,121248;0,068931;0,000663;Not Available;Not Available;0,130718;0,200312;5,221613
1974 novembre;0,791646;1,697792;1,490971;0,200829;4,181238;0,122819;0,072773;0,000789;Not Available;Not Available;0,126506;0,200068;4,504126
1974 décembre;0,940784;1,757184;1,533068;0,204559;4,435595;0,148309;0,079542;0,00083;Not Available;Not Available;0,130674;0,211046;4,79495
1975 janvier;1,275523;1,737742;1,520203;0,19817;4,731639;0,153503;0,086356;0,000694;Not Available;Not Available;0,127269;0,214319;5,099461
